Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Marvin Williams,PF,33,TOT,58,1,1129,5.1,11.5,.446,2.4,6.7,.359,2.7,4.8,.568,2.1,2.5,.860,1.3,6.6,7.9,2.6,1.6,1.3,1.4,4.4,14.8,,116,110,2020
Marvin Williams,PF,33,CHO,41,1,808,5.8,13.0,.448,2.7,7.3,.376,3.1,5.8,.538,2.7,3.1,.860,0.9,5.8,6.8,2.5,1.6,1.4,1.6,4.4,17.1,,115,113,2020
Marvin Williams,PF,33,MIL,17,0,321,3.6,8.1,.439,1.7,5.5,.308,1.8,2.6,.722,0.9,1.0,.857,2.1,8.4,10.5,2.7,1.4,1.1,1.1,4.6,9.7,,119,103,2020
Robert Williams,C,22,BOS,29,1,388,8.0,10.9,.727,0.0,0.0,,8.0,10.9,.727,2.7,4.2,.647,5.0,10.9,15.9,3.4,2.7,4.4,2.6,6.3,18.7,,134,98,2020
Zion Williamson,PF,19,NOP,24,24,668,14.5,24.9,.583,0.4,1.0,.429,14.1,24.0,.590,7.9,12.3,.640,4.4,6.0,10.4,3.5,1.1,0.6,4.1,2.9,37.4,,115,114,2020
D.J. Wilson,PF,23,MIL,37,1,363,6.5,16.6,.394,2.3,9.2,.247,4.3,7.4,.576,1.4,2.3,.611,1.5,10.1,11.6,3.1,0.4,0.6,2.4,4.2,16.7,,94,105,2020
Christian Wood,PF,24,DET,62,12,1325,10.7,18.9,.567,2.0,5.2,.386,8.7,13.7,.636,6.7,9.0,.744,3.9,10.6,14.5,2.2,1.3,2.0,3.1,3.6,30.1,,123,110,2020
Thaddeus Young,PF,31,CHI,64,16,1591,8.1,18.2,.448,2.4,6.7,.356,5.8,11.5,.501,1.3,2.2,.583,2.8,6.7,9.5,3.5,2.8,0.7,3.1,4.1,20.0,,101,108,2020
Cody Zeller,C,27,CHO,58,39,1341,9.4,17.9,.524,0.7,2.8,.240,8.7,15.1,.577,4.6,6.7,.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,,116,111,2020
Tyler Zeller,C,30,SAS,2,0,4,11.9,47.8,.250,0.0,0.0,,11.9,47.8,.250,0.0,0.0,,35.8,11.9,47.8,0.0,0.0,0.0,0.0,0.0,23.9,,95,116,2020
Ante Žižić,C,23,CLE,22,0,221,9.0,15.9,.569,0.0,0.0,,9.0,15.9,.569,3.1,4.2,.737,4.0,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,,116,113,2020
Ivica Zubac,C,22,LAC,72,70,1326,8.4,13.7,.613,0.0,0.1,.000,8.4,13.7,.616,4.4,5.9,.747,7.0,12.3,19.4,2.9,0.6,2.4,2.2,6.0,21.2,,134,105,2020
