Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Paul Millsap,PF,34,DEN,51,48,1240,8.4,17.5,.482,2.2,4.9,.435,6.3,12.5,.500,4.6,5.6,.816,3.9,7.8,11.7,3.3,1.8,1.2,2.8,6.0,23.6,,116,110,2020
Juwan Morgan,PF,22,UTA,21,0,134,5.4,9.4,.577,1.1,2.9,.375,4.4,6.5,.667,1.1,1.5,.750,3.6,6.9,10.5,2.2,0.4,0.7,2.2,6.9,13.1,,121,112,2020
Marcus Morris,PF,30,LAC,19,19,549,6.4,15.0,.425,2.2,7.2,.310,4.1,7.7,.533,1.5,1.9,.818,0.9,5.8,6.7,2.3,1.1,1.1,2.1,4.5,16.5,,101,109,2020
Markieff Morris,PF,30,TOT,58,17,1187,8.4,18.9,.443,3.6,9.4,.386,4.7,9.5,.500,2.7,3.5,.776,1.6,7.3,9.0,3.2,1.3,0.7,3.1,5.5,23.1,,105,112,2020
Markieff Morris,PF,30,DET,44,16,988,8.7,19.4,.450,3.7,9.4,.397,5.0,10.0,.500,3.0,3.9,.772,1.2,7.4,8.6,3.4,1.3,0.5,3.5,5.2,24.2,,104,113,2020
Markieff Morris,PF,30,LAL,14,1,199,6.7,16.5,.406,3.1,9.3,.333,3.6,7.2,.500,1.2,1.4,.833,3.8,6.9,10.8,1.9,1.2,1.4,1.4,6.9,17.7,,110,107,2020
Johnathan Motley,PF,24,LAC,13,0,41,12.7,17.3,.733,1.2,1.2,1.000,11.5,16.1,.714,5.8,8.1,.714,3.5,8.1,11.5,9.2,3.5,0.0,5.8,6.9,32.3,,132,104,2020
Mike Muscala,C,28,OKC,47,2,572,6.5,16.1,.407,4.6,12.1,.378,2.0,3.9,.500,1.5,1.9,.818,1.4,7.8,9.2,3.4,0.8,1.0,1.4,4.9,19.2,,114,110,2020
Larry Nance Jr.,C,27,CLE,56,10,1472,7.6,14.2,.531,1.9,5.3,.352,5.7,9.0,.636,1.7,2.4,.676,3.5,10.0,13.5,4.1,1.9,0.7,2.0,3.0,18.6,,122,113,2020
Georges Niang,PF,26,UTA,66,1,923,7.4,17.0,.438,4.7,11.9,.400,2.7,5.1,.526,1.1,1.3,.833,0.8,5.9,6.7,2.3,0.9,0.3,1.6,4.0,20.7,,113,112,2020
