Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
James Johnson,PF,32,TOT,32,619,14.8,.572,.423,.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,,0.3,0.8,1.1,.089,,-1.1,1.1,0.0,0.3,2020
James Johnson,PF,32,MIA,18,281,11.1,.547,.517,.161,3.3,16.9,10.4,11.1,1.0,4.6,13.9,17.0,,0.0,0.4,0.4,.065,,-2.6,0.8,-1.8,0.0,2020
James Johnson,PF,32,MIN,14,338,17.9,.588,.359,.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,,0.3,0.4,0.8,.109,,0.1,1.5,1.6,0.3,2020
Stanley Johnson,PF,23,TOR,25,150,9.9,.454,.407,.271,5.0,20.6,13.0,19.4,1.9,2.6,18.5,23.1,,-0.3,0.3,0.0,.014,,-3.9,1.4,-2.6,0.0,2020
Nikola Jokić,C,24,DEN,73,2336,24.9,.605,.238,.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,,6.7,3.1,9.8,.202,,5.5,2.0,7.4,5.5,2020
Damian Jones,C,24,ATL,55,887,15.6,.712,.051,.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,,2.2,0.6,2.8,.152,,-1.6,0.1,-1.5,0.1,2020
DeAndre Jordan,C,31,BRK,56,1234,19.9,.682,.000,.425,12.1,34.5,23.5,12.6,0.7,3.5,17.8,14.1,,3.0,2.2,5.2,.200,,1.2,1.8,3.0,1.5,2020
Mfiondu Kabengele,C,22,LAC,12,64,18.2,.614,.625,.156,1.7,15.8,8.9,4.9,1.5,2.8,5.5,23.7,,0.1,0.1,0.2,.173,,2.3,-0.1,2.2,0.1,2020
Frank Kaminsky,C,26,PHO,39,777,14.2,.545,.404,.293,4.9,20.4,12.6,14.3,0.9,1.1,9.6,21.0,,0.7,0.7,1.4,.087,,-0.1,-0.4,-0.5,0.3,2020
Enes Kanter,C,27,BOS,58,983,22.4,.599,.020,.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,,2.6,1.8,4.4,.214,,1.8,-0.3,1.5,0.9,2020
Michael Kidd-Gilchrist,PF,26,CHO,12,160,6.1,.421,.321,.170,5.9,18.4,11.9,9.5,0.0,1.7,10.9,17.6,,-0.2,0.1,-0.1,-0.028,,-5.3,-1.6,-6.9,-0.2,2020
Maxi Kleber,C,28,DAL,74,1890,13.6,.605,.621,.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,,3.2,1.7,4.8,.123,,0.4,0.0,0.4,1.1,2020
Luke Kornet,C,24,CHI,36,559,12.7,.539,.578,.150,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,,0.5,0.6,1.1,.091,,-0.9,-0.2,-1.2,0.1,2020
Rodions Kurucs,PF,21,BRK,47,684,8.9,.555,.508,.215,3.9,16.6,10.4,10.4,1.7,0.6,19.2,14.7,,-0.1,0.8,0.8,.055,,-3.6,0.8,-2.8,-0.1,2020
Kyle Kuzma,PF,24,LAL,61,1526,12.2,.531,.407,.232,3.8,15.7,9.8,7.6,0.9,1.5,11.0,22.9,,0.1,1.9,2.0,.063,,-1.6,-1.0,-2.6,-0.2,2020
Skal Labissière,C,23,POR,33,567,15.4,.588,.088,.224,12.1,19.0,15.6,10.1,0.6,4.7,15.7,14.3,,1.0,0.4,1.4,.119,,-1.5,0.2,-1.3,0.1,2020
Jake Layman,PF,25,MIN,23,505,10.3,.544,.402,.179,3.4,8.7,6.0,4.4,1.6,1.6,11.1,17.7,,0.0,0.3,0.3,.030,,-2.7,-1.0,-3.7,-0.2,2020
T.J. Leaf,PF,22,IND,28,222,12.9,.451,.209,.186,11.5,23.5,17.5,5.7,2.2,1.6,7.9,20.0,,-0.1,0.4,0.3,.061,,-2.5,0.1,-2.4,0.0,2020
Alex Len,C,26,TOT,55,970,17.7,.600,.185,.329,11.1,25.2,18.0,7.9,1.1,4.3,13.1,18.1,,1.5,1.0,2.5,.122,,-0.5,-0.3,-0.7,0.3,2020
Alex Len,C,26,ATL,40,745,17.5,.590,.215,.312,9.8,23.6,16.6,8.7,1.3,3.7,11.7,18.6,,1.1,0.6,1.8,.113,,-0.2,-0.2,-0.4,0.3,2020
Alex Len,C,26,SAC,15,225,18.2,.640,.051,.407,15.1,30.8,22.8,5.2,0.6,6.4,18.7,16.5,,0.4,0.3,0.7,.150,,-1.3,-0.3,-1.6,0.0,2020
Meyers Leonard,C,27,MIA,51,1034,10.6,.627,.547,.120,3.4,24.0,14.1,7.6,0.7,1.4,13.7,12.2,,0.9,1.2,2.1,.096,,-1.3,0.4,-0.9,0.3,2020
Nassir Little,PF,19,POR,48,573,9.6,.505,.391,.291,5.7,13.9,9.9,5.0,1.1,2.1,8.1,13.7,,0.3,0.3,0.6,.047,,-2.9,-0.6,-3.5,-0.2,2020
Kevon Looney,C,23,GSW,20,262,9.4,.403,.177,.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,,-0.2,0.2,0.0,.006,,-4.8,-0.8,-5.6,-0.2,2020
Brook Lopez,C,31,MIL,68,1817,15.0,.551,.484,.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,,1.4,4.1,5.5,.145,,-0.4,2.5,2.0,1.9,2020
Robin Lopez,C,31,MIL,66,958,10.2,.554,.351,.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,,-0.1,1.6,1.5,.077,,-3.0,0.4,-2.6,-0.2,2020
Kevin Love,PF,31,CLE,56,1780,17.9,.599,.536,.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,,2.5,1.3,3.8,.101,,2.6,-0.5,2.0,1.8,2020
Trey Lyles,PF,24,SAS,63,1271,12.6,.557,.490,.131,6.0,24.6,15.3,7.2,1.1,1.9,9.7,13.6,,1.2,1.0,2.2,.083,,-0.5,-0.7,-1.2,0.3,2020
Ian Mahinmi,C,33,WAS,38,808,14.2,.545,.124,.538,10.1,19.7,14.7,8.3,1.8,4.8,14.8,15.7,,0.7,0.7,1.4,.083,,-2.8,0.0,-2.7,-0.2,2020
Thon Maker,C,22,DET,60,776,13.7,.582,.332,.570,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,,0.7,0.8,1.5,.096,,-2.1,0.7,-1.4,0.1,2020
Boban Marjanović,C,31,DAL,44,422,25.7,.612,.081,.270,16.6,32.1,24.5,8.3,0.9,2.0,11.3,26.9,,1.2,0.6,1.8,.200,,2.8,-1.6,1.2,0.3,2020
Lauri Markkanen,PF,22,CHI,50,1492,14.3,.560,.536,.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,,1.0,1.6,2.6,.084,,0.2,-0.8,-0.6,0.5,2020
Luc Mbah a Moute,PF,33,HOU,3,25,6.4,.425,.400,.400,4.2,4.2,4.2,0.0,3.7,0.0,14.5,11.4,,0.0,0.0,0.0,-0.008,,-5.2,-2.2,-7.4,0.0,2020
Jalen McDaniels,PF,22,CHO,16,293,10.7,.574,.343,.243,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,,0.2,0.2,0.5,.078,,-3.4,0.1,-3.3,-0.1,2020
Doug McDermott,PF,28,IND,69,1372,14.4,.620,.537,.106,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,,2.3,1.1,3.3,.117,,1.4,-1.3,0.0,0.7,2020
JaVale McGee,C,32,LAL,68,1130,19.4,.652,.020,.268,12.2,25.4,18.9,4.6,1.5,7.5,13.9,14.8,,2.2,2.4,4.7,.198,,-0.6,2.1,1.5,1.0,2020
Nicolò Melli,C,29,NOP,60,1042,11.4,.556,.638,.226,3.9,14.5,9.2,10.5,1.5,1.8,11.5,15.7,,0.9,0.9,1.8,.082,,-1.5,0.2,-1.3,0.2,2020
Chimezie Metu,PF,22,SAS,18,105,22.2,.608,.048,.310,12.3,21.6,16.9,14.9,1.4,5.0,17.3,23.7,,0.2,0.1,0.3,.130,,1.9,-0.1,1.8,0.1,2020
Eric Mika,PF,25,SAC,1,19,13.9,.773,.000,.667,11.6,30.4,20.7,0.0,0.0,0.0,0.0,8.9,,0.1,0.0,0.1,.218,,-2.2,-1.0,-3.2,0.0,2020
Paul Millsap,PF,34,DEN,51,1240,16.9,.591,.283,.322,8.9,17.6,13.2,9.6,1.8,2.2,12.3,20.0,,2.1,1.4,3.5,.136,,0.3,-0.2,0.1,0.7,2020
Juwan Morgan,PF,22,UTA,21,134,10.1,.648,.308,.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11.0,,0.2,0.1,0.3,.106,,-2.9,-0.3,-3.2,0.0,2020
Marcus Morris,PF,30,LAC,19,549,8.9,.523,.483,.126,2.1,12.3,7.4,6.8,1.1,2.1,11.6,15.8,,0.0,0.7,0.6,.055,,-2.5,0.3,-2.2,0.0,2020
Markieff Morris,PF,30,TOT,58,1187,12.5,.565,.498,.186,3.8,17.1,10.3,10.1,1.3,1.2,13.3,20.9,,0.5,1.0,1.4,.058,,-1.1,-0.9,-2.0,0.0,2020
Markieff Morris,PF,30,DET,44,988,12.7,.573,.486,.203,2.7,17.3,9.9,11.0,1.3,0.9,14.2,21.8,,0.3,0.7,1.0,.049,,-1.1,-1.0,-2.1,0.0,2020
Markieff Morris,PF,30,LAL,14,199,11.5,.516,.565,.087,8.9,15.8,12.4,5.4,1.2,2.7,7.7,16.5,,0.2,0.3,0.4,.106,,-1.3,-0.1,-1.4,0.0,2020
Johnathan Motley,PF,24,LAC,13,41,28.5,.774,.067,.467,7.8,17.3,12.7,32.9,3.5,0.0,21.7,23.5,,0.2,0.1,0.3,.299,,4.8,3.3,8.1,0.1,2020
Mike Muscala,C,28,OKC,47,572,12.5,.569,.757,.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,,0.7,0.6,1.3,.107,,0.1,-0.2,-0.1,0.3,2020
Larry Nance Jr.,C,27,CLE,56,1472,17.3,.608,.369,.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,,2.8,1.1,3.9,.128,,1.4,0.4,1.7,1.4,2020
Georges Niang,PF,26,UTA,66,923,11.7,.589,.699,.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,,1.0,0.8,1.8,.092,,0.4,-0.5,-0.1,0.4,2020
Joakim Noah,C,34,LAC,5,50,11.1,.608,.000,1.000,10.7,22.3,16.6,17.9,0.9,1.8,34.2,14.7,,0.0,0.1,0.1,.096,,-4.1,2.5,-1.6,0.0,2020
Nerlens Noel,C,25,OKC,61,1127,20.4,.711,.011,.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,,2.6,2.3,4.9,.209,,-0.3,3.4,3.1,1.5,2020
Jusuf Nurkić,C,25,POR,8,253,22.6,.567,.092,.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24.0,,0.5,0.3,0.9,.164,,1.0,0.9,2.0,0.2,2020
Royce O'Neale,PF,26,UTA,71,2049,9.5,.578,.668,.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,,1.8,2.5,4.3,.101,,-1.3,2.2,0.9,1.5,2020
Kyle O'Quinn,C,29,PHI,29,313,18.6,.544,.318,.235,12.0,29.0,20.5,22.7,1.1,6.5,17.6,15.7,,0.5,0.6,1.1,.165,,0.3,2.7,3.0,0.4,2020
Semi Ojeleye,PF,25,BOS,69,1011,7.7,.562,.648,.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,,0.8,1.0,1.9,.088,,-2.1,0.4,-1.7,0.1,2020
Jahlil Okafor,C,24,NOP,30,467,18.3,.642,.019,.383,10.9,18.0,14.4,12.0,0.7,3.9,16.7,19.9,,0.9,0.4,1.3,.133,,-0.5,0.3,-0.2,0.2,2020
Kelly Olynyk,C,28,MIA,67,1300,14.6,.621,.588,.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,,1.9,1.8,3.7,.135,,0.0,1.0,1.0,1.0,2020
Tariq Owens,PF,24,PHO,3,15,8.4,.340,.400,.400,14.6,7.5,11.1,0.0,3.2,0.0,0.0,16.7,,0.0,0.0,0.0,.021,,-3.1,-2.7,-5.8,0.0,2020
Jabari Parker,PF,24,TOT,38,917,18.0,.571,.277,.189,7.1,18.3,12.6,12.4,2.3,1.5,12.1,24.0,,0.8,0.8,1.6,.083,,0.6,-0.3,0.3,0.5,2020
Jabari Parker,PF,24,ATL,32,837,17.2,.565,.293,.183,6.9,17.9,12.3,11.6,2.3,1.5,12.4,24.0,,0.5,0.7,1.2,.068,,0.3,-0.3,0.0,0.4,2020
Jabari Parker,PF,24,SAC,6,80,26.5,.638,.111,.250,9.6,23.1,16.2,21.5,1.8,1.2,9.1,23.8,,0.3,0.1,0.4,.234,,3.5,-0.9,2.6,0.1,2020
Eric Paschall,PF,23,GSW,60,1654,14.5,.571,.202,.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,,1.6,0.5,2.1,.062,,-0.7,-2.0,-2.7,-0.3,2020
Anžejs Pasečņiks,C,24,WAS,27,437,11.3,.551,.026,.500,10.1,16.9,13.4,5.7,1.0,2.4,14.5,15.8,,0.3,0.2,0.5,.054,,-4.1,-1.5,-5.6,-0.4,2020
Patrick Patterson,PF,30,LAC,59,776,11.5,.580,.738,.185,4.8,15.1,10.1,7.2,0.4,0.3,7.7,14.7,,1.1,0.8,1.9,.118,,0.8,-0.5,0.3,0.5,2020
Justin Patton,C,22,OKC,5,24,4.7,.450,.400,.000,4.7,17.9,11.5,12.6,0.0,0.0,16.7,22.0,,-0.1,0.0,0.0,-0.063,,-6.8,-3.3,-10.1,0.0,2020
Norvel Pelle,C,26,PHI,24,232,10.5,.526,.021,.292,9.5,24.8,17.1,4.6,0.6,11.4,24.9,13.4,,-0.2,0.5,0.3,.069,,-7.8,2.6,-5.2,-0.2,2020
Mason Plumlee,C,29,DEN,61,1057,18.8,.613,.017,.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,,2.0,1.4,3.4,.153,,0.3,1.7,2.0,1.1,2020
Jakob Poeltl,C,24,SAS,66,1171,19.1,.612,.000,.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,,2.4,1.6,4.0,.163,,0.5,2.0,2.5,1.3,2020
Vincent Poirier,C,26,BOS,22,130,12.7,.525,.056,.194,10.8,24.4,17.7,8.5,0.7,6.4,17.0,15.4,,0.1,0.2,0.3,.113,,-4.8,1.0,-3.8,-0.1,2020
Michael Porter Jr.,PF,21,DEN,55,903,19.8,.617,.384,.188,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,,1.8,1.1,2.9,.154,,2.4,-0.8,1.5,0.8,2020
Bobby Portis,C,24,NYK,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,,0.9,1.0,1.9,.064,,0.0,-1.1,-1.1,0.3,2020
Kristaps Porziņģis,PF,24,DAL,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,,2.6,2.6,5.2,.138,,1.8,0.1,1.9,1.8,2020
Dwight Powell,C,28,DAL,40,1061,15.9,.677,.170,.485,7.5,14.8,11.2,7.7,1.5,1.8,11.5,12.6,,2.6,1.0,3.6,.162,,0.4,0.9,1.3,0.9,2020
Julius Randle,PF,25,NYK,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,,0.9,1.8,2.7,.062,,0.7,-1.0,-0.3,0.9,2020
Naz Reid,C,20,MIN,30,495,15.3,.505,.399,.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,,0.2,0.6,0.8,.074,,-1.6,-0.3,-1.9,0.0,2020
Mitchell Robinson,C,21,NYK,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,,4.8,2.0,6.8,.230,,1.6,1.4,2.9,1.8,2020
Domantas Sabonis,C,23,IND,62,2159,20.7,.586,.079,.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,,4.1,3.4,7.5,.168,,2.0,1.2,3.2,2.9,2020
Luka Šamanić,PF,20,SAS,3,48,8.8,.450,.500,.250,2.2,20.2,11.2,16.3,0.0,3.7,10.1,17.8,,0.0,0.0,0.0,.011,,-2.4,-1.7,-4.1,0.0,2020
Dario Šarić,PF,25,PHO,66,1632,14.2,.592,.437,.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,,2.1,1.5,3.6,.105,,-0.1,-0.3,-0.4,0.7,2020
Mike Scott,PF,31,PHI,68,1207,11.2,.557,.620,.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,,1.4,1.1,2.5,.100,,-0.7,-1.1,-1.8,0.1,2020
Thabo Sefolosha,PF,35,HOU,41,436,9.4,.487,.593,.088,5.0,17.5,11.2,7.5,2.5,2.4,13.7,10.4,,0.0,0.6,0.7,.072,,-2.9,1.6,-1.2,0.1,2020
Pascal Siakam,PF,25,TOR,60,2110,17.9,.554,.331,.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,,1.8,3.6,5.4,.123,,1.3,0.5,1.8,2.0,2020
Chris Silva,PF,23,MIA,44,346,17.3,.651,.038,.705,20.2,20.6,20.4,9.9,1.3,6.0,23.8,17.1,,0.7,0.5,1.3,.178,,-3.1,0.8,-2.3,0.0,2020
Alen Smailagić,PF,19,GSW,14,139,14.5,.610,.325,.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,,0.2,0.1,0.2,.081,,-1.4,-0.8,-2.2,0.0,2020
Omari Spellman,PF,22,GSW,49,886,14.4,.551,.373,.312,9.1,18.0,13.4,8.1,1.8,2.4,13.9,18.8,,0.5,0.7,1.2,.066,,-0.8,-1.0,-1.7,0.1,2020
Caleb Swanigan,PF,22,TOT,27,288,7.6,.597,.043,.362,9.9,26.4,18.3,13.9,0.5,2.2,40.4,13.5,,-0.2,0.2,0.0,.004,,-6.2,0.2,-6.0,-0.3,2020
Caleb Swanigan,PF,22,SAC,7,23,-0.1,.512,.000,.500,9.6,25.1,17.1,11.5,2.1,8.3,55.1,20.5,,-0.1,0.0,-0.1,-0.177,,-14.6,3.3,-11.3,-0.1,2020
Caleb Swanigan,PF,22,POR,20,265,8.2,.605,.047,.349,10.0,26.5,18.3,14.1,0.4,1.6,38.5,12.9,,-0.1,0.2,0.1,.020,,-5.5,-0.1,-5.6,-0.2,2020
Jayson Tatum,PF,21,BOS,66,2265,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,,3.2,3.7,6.9,.146,,3.5,0.6,4.0,3.4,2020
Daniel Theis,C,27,BOS,65,1566,17.9,.631,.225,.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,,4.0,2.6,6.5,.201,,0.6,1.8,2.4,1.7,2020
Tristan Thompson,C,28,CLE,57,1721,16.8,.540,.041,.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,,2.0,1.1,3.1,.085,,-0.3,-1.3,-1.5,0.2,2020
Anthony Tolliver,PF,34,TOT,55,872,7.0,.513,.797,.159,4.1,14.3,9.3,6.0,1.0,1.1,14.9,11.1,,0.0,0.4,0.5,.026,,-2.7,-0.5,-3.2,-0.3,2020
Anthony Tolliver,PF,34,POR,33,554,7.5,.515,.761,.162,5.2,15.5,10.4,6.6,0.7,1.4,14.3,11.2,,0.2,0.2,0.4,.031,,-2.3,-0.9,-3.3,-0.2,2020
Anthony Tolliver,PF,34,SAC,9,82,0.2,.252,.882,.118,2.7,12.7,7.6,4.5,2.4,1.2,18.3,11.6,,-0.2,0.1,-0.2,-0.100,,-7.8,-1.0,-8.8,-0.1,2020
Anthony Tolliver,PF,34,MEM,13,236,8.0,.602,.854,.167,2.3,12.3,7.4,5.3,1.4,0.4,14.9,10.7,,0.1,0.2,0.3,.061,,-1.7,0.6,-1.2,0.0,2020
Karl-Anthony Towns,C,24,MIN,35,1187,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,,3.7,1.3,5.1,.204,,7.0,0.8,7.8,2.9,2020
P.J. Tucker,PF,34,HOU,72,2467,8.3,.559,.702,.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,,1.6,2.4,4.0,.078,,-2.4,0.6,-1.9,0.1,2020
Myles Turner,C,23,IND,62,1826,14.8,.566,.426,.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,,1.1,3.1,4.2,.111,,-1.0,1.1,0.1,1.0,2020
Jonas Valančiūnas,C,27,MEM,70,1845,22.2,.631,.123,.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,,4.2,2.8,7.0,.182,,2.1,0.2,2.4,2.0,2020
Jarred Vanderbilt,PF,20,MIN,2,5,11.1,.532,1.000,2.000,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,,0.0,0.0,0.0,.104,,-2.8,-2.8,-5.6,0.0,2020
Noah Vonleh,C-PF,24,TOT,36,377,15.5,.622,.163,.348,10.1,25.3,17.4,10.7,1.4,1.3,16.5,13.9,,0.6,0.4,1.0,.127,,-1.2,0.3,-1.0,0.1,2020
Noah Vonleh,C,24,MIN,29,347,15.3,.605,.163,.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,,0.5,0.4,0.9,.124,,-1.5,0.4,-1.0,0.1,2020
Noah Vonleh,PF,24,DEN,7,30,17.6,.838,.167,.667,11.2,18.6,14.9,9.5,0.0,0.0,20.5,14.1,,0.1,0.0,0.1,.166,,1.3,-1.9,-0.6,0.0,2020
Nikola Vučević,C,29,ORL,62,1998,21.9,.549,.280,.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,,3.5,2.9,6.4,.153,,3.7,0.5,4.2,3.1,2020
Dean Wade,PF,23,CLE,12,71,13.9,.744,.308,.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,,0.1,0.1,0.2,.105,,-1.7,0.5,-1.2,0.0,2020
Moritz Wagner,C,22,WAS,45,835,15.1,.638,.301,.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,,1.1,0.6,1.7,.099,,-2.0,-0.3,-2.3,-0.1,2020
P.J. Washington,PF,21,CHO,58,1759,12.4,.547,.390,.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,,0.5,1.5,2.0,.054,,-1.7,0.1,-1.6,0.2,2020
Hassan Whiteside,C,30,POR,67,2008,25.0,.644,.010,.340,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,,5.6,3.0,8.5,.204,,2.5,0.7,3.2,2.6,2020
Grant Williams,PF,21,BOS,69,1043,7.9,.505,.455,.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,,0.1,1.4,1.6,.071,,-4.1,1.4,-2.7,-0.2,2020
Johnathan Williams,C,24,WAS,15,180,14.0,.566,.059,.382,14.0,25.3,19.4,5.9,0.3,3.9,11.2,10.3,,0.3,0.1,0.4,.109,,-0.8,-1.4,-2.2,0.0,2020
Kenrich Williams,PF,25,NOP,39,832,7.5,.429,.660,.177,6.5,17.3,11.9,8.4,1.5,2.1,12.2,8.9,,0.1,0.8,0.9,.050,,-3.4,0.9,-2.4,-0.1,2020
Marvin Williams,PF,33,TOT,58,1129,11.2,.587,.584,.213,2.8,14.3,8.5,7.6,1.6,2.4,10.2,12.5,,1.1,1.3,2.4,.102,,-1.6,1.0,-0.6,0.4,2020
Marvin Williams,PF,33,CHO,41,808,11.8,.593,.557,.238,2.0,13.2,7.4,7.8,1.6,2.5,9.7,14.0,,0.8,0.6,1.5,.087,,-1.6,0.4,-1.3,0.1,2020
Marvin Williams,PF,33,MIL,17,321,9.8,.566,.684,.123,4.9,17.1,11.4,7.2,1.4,2.2,11.8,8.7,,0.3,0.6,0.9,.139,,-1.6,2.5,0.9,0.2,2020
Robert Williams,C,22,BOS,29,388,23.1,.728,.000,.386,11.2,24.0,17.7,10.1,2.7,8.4,16.9,13.6,,1.1,1.0,2.0,.253,,0.8,4.3,5.1,0.7,2020
Zion Williamson,PF,19,NOP,24,668,24.1,.616,.039,.494,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,,1.5,0.4,2.0,.141,,3.5,-1.4,2.1,0.7,2020
D.J. Wilson,PF,23,MIL,37,363,8.2,.475,.553,.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,,-0.3,0.6,0.3,.046,,-4.1,0.1,-4.0,-0.2,2020
Christian Wood,PF,24,DET,62,1325,23.2,.659,.276,.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,,3.6,1.5,5.1,.183,,3.5,-0.3,3.1,1.7,2020
Thaddeus Young,PF,31,CHI,64,1591,13.3,.521,.369,.120,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,,-0.2,2.1,1.9,.058,,-1.4,0.2,-1.2,0.3,2020
Cody Zeller,C,27,CHO,58,1341,18.8,.576,.157,.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,,2.3,1.3,3.6,.129,,0.2,-0.8,-0.6,0.5,2020
Tyler Zeller,C,30,SAS,2,4,22.4,.250,.000,.000,80.9,26.9,53.9,0.0,0.0,0.0,0.0,43.2,,0.0,0.0,0.0,-0.075,,-0.3,-22.1,-22.4,0.0,2020
Ante Žižić,C,23,CLE,22,221,16.4,.597,.000,.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,,0.3,0.2,0.5,.106,,-1.7,-1.5,-3.2,-0.1,2020
Ivica Zubac,C,22,LAC,72,1326,21.7,.651,.005,.431,15.9,26.4,21.3,9.1,0.6,4.4,11.8,16.4,,4.4,2.3,6.6,.241,,1.9,0.8,2.8,1.6,2020
