Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season,all_nba_1st_team
Jack Sikma*,C,30,SEA,80,2790,17.6,.535,.012,.374,6.0,26.2,15.9,16.5,1.6,1.6,14.3,22.4,,3.4,4.4,7.8,.134,,1.0,1.5,2.5,3.1,1986,0
Larry Smith,PF,28,GSW,77,2441,13.4,.539,.002,.387,16.4,21.8,19.0,4.9,1.2,1.1,16.4,13.2,,2.7,1.6,4.3,.085,,-0.4,-1.7,-2.1,-0.1,1986,0
Mike Smrek,C,23,CHI,38,408,6.5,.401,.016,.238,12.3,18.4,15.2,6.1,0.7,3.2,17.7,16.3,,-0.5,0.2,-0.2,-0.024,,-6.2,-1.2,-7.5,-0.6,1986,0
Steve Stipanovich,C,25,IND,79,2397,15.9,.526,.011,.356,7.9,20.2,14.1,12.3,1.5,1.7,12.5,20.0,,2.5,3.4,5.9,.118,,0.4,1.0,1.4,2.0,1986,0
Greg Stokes,PF,22,PHI,31,350,10.6,.491,.008,.176,8.6,9.6,9.1,6.9,1.9,1.8,12.9,16.9,,0.1,0.4,0.5,.068,,-2.8,0.0,-2.9,-0.1,1986,0
David Thirdkill,PF,25,BOS,49,385,12.1,.548,.009,.800,8.3,11.5,10.0,4.9,1.4,0.4,11.3,17.9,,0.5,0.5,1.0,.129,,-2.4,-0.8,-3.2,-0.1,1986,0
LaSalle Thompson,C,24,SAC,80,2377,16.4,.559,.001,.348,12.1,24.5,18.3,9.8,1.4,2.6,16.7,18.7,,2.5,3.1,5.6,.113,,0.0,0.7,0.7,1.6,1986,0
Mychal Thompson,C,31,POR,82,2569,13.7,.525,.000,.306,8.0,18.9,13.4,9.6,1.4,0.8,14.6,20.7,,1.3,2.4,3.7,.068,,-0.8,-1.0,-1.9,0.1,1986,0
Bob Thornton,PF,23,NYK,71,1323,6.9,.487,.000,.591,9.2,15.9,12.4,4.5,1.1,0.3,19.4,13.6,,-0.6,1.6,0.9,.034,,-4.8,-0.3,-5.1,-1.0,1986,0
Otis Thorpe,PF,23,SAC,75,1675,14.4,.617,.000,.504,9.3,19.0,14.2,6.9,1.0,1.2,17.0,17.5,,2.3,1.5,3.8,.109,,-0.6,-0.2,-0.8,0.5,1986,0
Wayman Tisdale,PF,21,IND,81,2277,14.0,.539,.002,.234,9.2,18.6,13.9,5.4,0.7,1.1,14.5,23.3,,0.7,2.6,3.2,.068,,-1.5,-1.3,-2.8,-0.4,1986,0
Jeff Turner,PF,23,NJN,53,650,8.4,.550,.006,.456,7.7,15.9,11.8,2.8,1.5,0.3,19.3,15.6,,0.1,0.7,0.8,.057,,-4.5,-0.5,-5.0,-0.5,1986,0
Melvin Turpin,C,25,CLE,80,2292,16.4,.585,.005,.272,8.8,18.0,13.4,3.5,1.3,2.6,12.5,19.1,,3.4,2.6,6.0,.125,,0.2,0.1,0.4,1.4,1986,0
Nick Vanos,C,22,PHO,11,202,3.4,.329,.000,.319,12.5,21.3,17.1,10.2,0.5,1.4,19.6,20.2,,-0.6,0.2,-0.4,-0.106,,-7.9,-2.2,-10.1,-0.4,1986,0
Pete Verhoeven,PF,26,GSW,61,749,10.1,.554,.012,.257,9.1,14.3,11.6,4.8,1.8,1.2,13.9,11.3,,0.7,0.5,1.2,.076,,-2.8,0.0,-2.9,-0.2,1986,0
Jay Vincent,PF,26,DAL,80,1994,16.4,.532,.003,.298,6.0,14.1,10.2,13.0,1.6,0.6,12.2,24.2,,2.2,1.2,3.4,.081,,0.1,-1.3,-1.2,0.4,1986,0
Granville Waiters,C,25,HOU,43,156,3.2,.324,.026,.154,10.3,9.1,9.7,5.9,1.2,3.6,20.9,13.2,,-0.3,0.1,-0.2,-0.051,,-6.6,-0.4,-7.1,-0.2,1986,0
Bill Walton*,C,33,BOS,80,1546,17.0,.606,.000,.491,10.4,27.3,19.4,13.6,1.2,3.8,23.2,17.3,,1.6,3.4,5.0,.157,,0.1,2.9,3.0,2.0,1986,0
Bill Wennington,C,22,DAL,56,562,11.4,.524,.026,.405,6.4,19.2,12.9,4.7,0.9,2.1,10.4,14.6,,0.5,0.4,0.9,.080,,-2.4,-0.4,-2.8,-0.1,1986,0
Mark West,C,25,CLE,67,1172,7.7,.550,.000,.493,9.1,21.2,15.2,2.2,1.1,3.0,26.4,12.1,,-0.6,1.5,0.9,.037,,-5.0,1.0,-4.0,-0.6,1986,0
Jerome Whitehead,C,29,GSW,81,1079,7.9,.463,.000,.330,9.1,24.4,16.5,2.2,0.8,1.0,16.0,14.6,,-0.4,0.7,0.3,.013,,-4.6,-1.9,-6.5,-1.2,1986,0
Jeff Wilkins,C,30,TOT,75,1126,7.2,.424,.000,.249,7.5,19.2,13.4,5.5,0.5,1.0,11.1,16.7,,-0.8,1.1,0.3,.012,,-4.6,-1.6,-6.2,-1.2,1986,0
Jeff Wilkins,C,30,UTA,48,604,7.7,.426,.000,.196,7.3,18.7,13.1,6.5,0.2,1.0,10.9,19.6,,-0.6,0.7,0.1,.006,,-4.9,-1.7,-6.7,-0.7,1986,0
Jeff Wilkins,C,30,SAS,27,522,6.7,.421,.000,.343,7.6,19.8,13.9,4.3,0.7,1.1,11.5,13.4,,-0.2,0.4,0.2,.020,,-4.1,-1.5,-5.6,-0.5,1986,0
Buck Williams,PF,25,NJN,82,3070,15.1,.565,.002,.465,12.0,24.1,18.0,5.8,1.1,1.8,17.5,18.1,,2.8,4.0,6.8,.106,,-0.1,-0.4,-0.6,1.1,1986,0
Guy Williams,PF,25,GSW,5,25,8.5,.458,.000,1.200,0.0,27.0,13.0,0.0,1.8,4.4,0.0,12.0,,0.0,0.0,0.0,.079,,-4.9,2.9,-2.1,0.0,1986,0
Herb Williams,C,27,IND,78,2770,17.9,.533,.009,.316,6.8,20.9,13.9,9.7,0.9,3.8,12.6,24.6,,2.0,4.2,6.2,.107,,0.7,0.7,1.4,2.4,1986,0
Pete Williams,PF,20,DEN,53,573,11.6,.587,.000,.360,8.2,18.9,13.3,3.0,1.5,2.2,12.9,9.9,,0.6,0.8,1.4,.116,,-1.6,0.6,-1.0,0.1,1986,0
Kevin Willis,PF,23,ATL,82,2300,14.1,.545,.007,.324,11.7,22.0,16.9,2.8,1.4,1.1,16.0,19.6,,1.4,3.3,4.7,.099,,-1.3,-0.6,-1.9,0.0,1986,0
Kareem Abdul-Jabbar*,C,39,LAL,78,2441,17.9,.597,.003,.345,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,,4.5,3.0,7.5,.148,,1.4,0.1,1.6,2.2,1987,0
Alvan Adams,C,32,PHO,68,1690,14.6,.546,.002,.275,6.2,16.1,11.2,18.4,1.7,1.3,16.7,20.0,,1.2,1.6,2.8,.079,,-0.4,0.3,-0.1,0.8,1987,0
Mark Alarie,PF,23,DEN,64,1110,12.5,.516,.020,.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,,0.7,0.7,1.5,.064,,-1.8,-1.4,-3.2,-0.3,1987,0
Richard Anderson,PF,26,HOU,51,312,13.6,.474,.115,.209,8.6,19.1,13.9,15.4,1.1,0.6,11.1,22.4,,0.1,0.4,0.5,.082,,-0.8,-0.5,-1.3,0.1,1987,0
James Bailey,PF,29,NJN,34,542,11.9,.514,.000,.335,10.0,18.4,14.2,5.7,1.0,2.5,16.5,24.4,,-0.2,0.5,0.3,.031,,-4.3,-0.5,-4.9,-0.4,1987,0
Thurl Bailey,PF,25,UTA,81,2155,13.9,.490,.002,.228,6.9,14.0,10.4,7.1,0.8,2.3,9.7,23.2,,0.2,2.9,3.1,.070,,-1.0,-0.4,-1.3,0.4,1987,0
Charles Barkley*,PF,23,PHI,68,2740,25.1,.660,.111,.602,16.7,24.8,20.8,19.0,2.1,2.2,21.4,23.1,,7.7,4.3,12.0,.210,,5.4,1.3,6.7,6.0,1987,0
William Bedford,C,23,PHO,50,979,7.6,.422,.003,.240,9.2,18.8,14.1,7.7,0.9,2.2,17.7,19.9,,-1.7,0.9,-0.8,-0.041,,-5.4,-1.2,-6.6,-1.1,1987,0
Benoit Benjamin,C,22,LAC,72,2230,12.6,.500,.003,.369,6.1,24.1,14.4,8.7,1.3,4.8,18.2,18.1,,-1.3,2.4,1.1,.024,,-3.3,1.2,-2.1,-0.1,1987,0
Kent Benson,C,32,UTA,73,895,11.7,.482,.022,.184,9.2,17.7,13.4,6.0,2.0,1.8,11.6,17.1,,0.1,1.6,1.7,.089,,-3.0,1.2,-1.8,0.0,1987,0
Walter Berry,PF,22,POR,7,19,28.9,.770,.000,.125,24.1,17.3,20.6,8.7,4.8,0.0,0.0,17.4,,0.1,0.0,0.2,.399,,6.7,3.7,10.4,0.1,1987,0
Joe Binion,PF,25,POR,11,51,12.0,.486,.000,1.000,18.0,21.4,19.7,2.3,1.8,2.2,17.2,13.4,,0.0,0.1,0.1,.092,,-1.1,-0.6,-1.7,0.0,1987,0
Uwe Blab,C,24,DAL,30,160,7.1,.419,.000,.549,7.6,16.6,12.2,10.4,1.2,3.2,19.2,19.9,,-0.3,0.2,-0.1,-0.027,,-6.4,0.3,-6.1,-0.2,1987,0
Manute Bol,C,24,WSB,82,1552,10.9,.482,.004,.290,5.6,19.3,12.4,0.9,0.6,10.8,19.0,8.3,,-0.5,2.9,2.4,.074,,-4.3,4.6,0.3,0.9,1987,0
Sam Bowie,C,25,POR,5,163,11.8,.505,.000,.455,9.8,12.8,11.3,7.5,0.3,3.4,15.9,22.7,,0.0,0.1,0.1,.034,,-2.2,-0.9,-3.0,0.0,1987,0
Randy Breuer,C,26,MIL,76,1467,12.3,.512,.000,.406,9.7,17.0,13.3,4.5,1.8,2.5,14.6,19.1,,0.1,2.3,2.4,.077,,-2.7,0.1,-2.6,-0.2,1987,0
Frank Brickowski,PF-C,27,TOT,44,487,10.2,.568,.032,.565,11.6,14.8,13.2,4.3,1.9,0.7,17.1,15.5,,0.5,0.6,1.1,.108,,-4.5,0.0,-4.5,-0.3,1987,0
Frank Brickowski,PF,27,LAL,37,404,10.2,.609,.000,.628,11.8,14.7,13.4,3.6,1.6,0.6,17.2,14.6,,0.6,0.5,1.1,.127,,-4.3,0.0,-4.3,-0.2,1987,0
Frank Brickowski,C,27,SAS,7,83,10.2,.431,.133,.367,10.2,15.2,12.6,7.8,3.4,1.4,16.7,20.2,,-0.1,0.1,0.0,.013,,-5.6,0.1,-5.4,-0.1,1987,0
Mike Brittain,C,23,SAS,6,29,7.3,.455,.000,.222,7.3,7.9,7.6,9.1,1.6,0.0,16.8,16.4,,0.0,0.0,0.0,-0.017,,-5.0,-3.1,-8.2,0.0,1987,0
Mike Brown,C,23,CHI,62,818,9.7,.554,.000,.358,9.7,20.2,14.8,4.1,1.2,0.5,20.2,15.0,,0.1,0.9,1.0,.060,,-4.1,-1.0,-5.1,-0.6,1987,0
Michael Cage,PF,25,LAC,80,2922,17.1,.579,.003,.532,12.4,23.1,17.3,6.6,1.6,1.3,13.6,17.1,,4.8,2.4,7.2,.119,,0.8,-1.1,-0.2,1.3,1987,0
Antoine Carr,PF,25,ATL,65,695,15.5,.551,.011,.389,9.4,14.8,12.1,7.2,1.0,4.1,11.4,20.7,,1.1,1.1,2.2,.149,,-1.3,1.4,0.1,0.4,1987,0
Kenny Carr,PF,31,POR,49,1443,12.8,.558,.005,.424,10.4,27.9,19.3,7.4,0.9,0.5,17.9,15.7,,1.1,1.8,2.9,.098,,-0.7,-0.5,-1.2,0.3,1987,0
Joe Barry Carroll,C,28,GSW,81,2724,18.4,.521,.000,.296,6.9,16.9,11.8,12.3,1.6,2.6,12.0,27.8,,2.1,2.6,4.6,.082,,0.9,-0.2,0.7,1.8,1987,0
Bill Cartwright,C,29,NYK,58,1989,17.1,.617,.000,.694,7.4,17.8,12.6,7.2,1.0,0.8,13.4,20.0,,4.4,1.4,5.8,.140,,1.4,-0.7,0.7,1.4,1987,0
Terry Catledge,PF,23,WSB,78,2149,14.2,.522,.005,.401,12.0,15.7,13.8,4.0,1.0,0.4,12.9,21.1,,1.5,2.1,3.6,.080,,-0.7,-2.0,-2.7,-0.4,1987,0
Tom Chambers,PF,27,SEA,82,3018,17.0,.554,.100,.436,5.9,13.8,9.8,11.8,1.3,0.9,13.5,26.0,,5.3,2.1,7.4,.118,,1.4,-1.2,0.1,1.6,1987,0
Ben Coleman,C,25,NJN,68,1029,13.6,.617,.003,.387,10.9,20.6,15.7,5.3,1.5,1.8,20.4,18.0,,0.9,1.1,2.0,.093,,-2.0,-0.2,-2.2,0.0,1987,0
Wayne Cooper,C,30,DEN,69,1561,11.3,.480,.006,.208,10.2,22.3,15.9,5.5,0.4,3.7,12.0,16.0,,0.4,1.6,2.0,.060,,-3.4,-0.8,-4.1,-0.8,1987,0
Dave Corzine,C,30,CHI,82,2287,12.8,.505,.008,.208,9.7,17.3,13.4,12.6,0.8,2.3,14.4,14.6,,1.7,2.5,4.2,.089,,-0.6,0.3,-0.4,0.9,1987,0
Pat Cummings,PF,30,NYK,49,1056,11.4,.491,.000,.288,13.0,20.3,16.6,5.3,1.2,0.4,16.5,20.4,,-0.3,0.9,0.6,.025,,-2.9,-1.7,-4.6,-0.7,1987,0
Terry Cummings,PF,25,MIL,82,2770,20.5,.536,.002,.264,8.5,19.8,14.1,13.5,2.2,1.8,9.8,26.1,,4.1,4.7,8.8,.152,,2.5,0.8,3.3,3.7,1987,0
Earl Cureton,C,29,TOT,78,1973,11.3,.492,.004,.298,11.5,14.3,12.8,8.6,0.8,1.7,12.2,13.7,,1.3,1.4,2.7,.065,,-1.5,-1.0,-2.4,-0.2,1987,0
Earl Cureton,C,29,CHI,43,1105,10.3,.482,.004,.264,11.4,11.9,11.7,8.6,0.7,1.4,12.7,13.5,,0.6,0.9,1.5,.066,,-1.5,-0.7,-2.2,-0.1,1987,0
Earl Cureton,C,29,LAC,35,868,12.5,.504,.004,.338,11.6,17.3,14.2,8.5,1.0,2.0,11.5,13.9,,0.7,0.5,1.2,.064,,-1.4,-1.2,-2.7,-0.2,1987,0
Brad Daugherty,C,21,CLE,80,2695,15.6,.579,.000,.443,6.1,19.8,12.9,16.9,0.9,1.3,18.7,19.8,,2.6,3.5,6.0,.107,,0.2,0.7,0.8,1.9,1987,0
Darryl Dawkins,C,30,NJN,6,106,11.5,.670,.000,.750,9.6,10.6,10.1,2.9,0.9,1.7,26.1,21.9,,0.0,0.1,0.1,.048,,-3.8,-0.5,-4.3,-0.1,1987,0
James Donaldson,C,29,DAL,82,3028,15.3,.658,.000,.620,10.7,23.8,17.4,2.6,0.8,2.5,13.3,10.5,,6.5,3.9,10.4,.166,,1.4,0.3,1.7,2.8,1987,0
Greg Dreiling,C,24,IND,24,128,8.6,.497,.000,.324,10.1,27.0,18.4,7.4,0.8,0.9,14.2,16.1,,0.0,0.2,0.2,.093,,-6.1,0.3,-5.8,-0.1,1987,0
Kevin Duckworth,C,22,TOT,65,875,9.1,.530,.004,.491,9.8,18.5,14.2,4.3,1.1,1.3,19.0,18.5,,-0.1,0.9,0.8,.045,,-5.1,-0.9,-6.0,-0.9,1987,0
Kevin Duckworth,C,22,SAS,14,122,10.6,.440,.000,.311,11.3,17.0,14.0,6.6,1.9,1.4,7.3,18.1,,0.0,0.1,0.2,.062,,-3.8,-0.9,-4.7,-0.1,1987,0
Kevin Duckworth,C,22,POR,51,753,8.8,.547,.004,.526,9.6,18.7,14.3,4.0,1.0,1.3,20.9,18.5,,-0.1,0.8,0.7,.043,,-5.3,-0.9,-6.2,-0.8,1987,0
Mark Eaton,C,30,UTA,79,2505,11.1,.448,.000,.364,8.7,20.4,14.5,5.3,0.8,7.4,17.3,13.0,,-1.5,5.0,3.6,.068,,-3.8,3.1,-0.7,0.8,1987,0
James Edwards,C,31,PHO,14,304,17.0,.597,.000,.636,7.5,14.5,11.1,8.8,0.9,1.3,9.6,20.8,,0.8,0.2,1.0,.157,,0.9,-0.3,0.6,0.2,1987,0
Chris Engler,C,27,TOT,30,195,11.0,.500,.000,.314,13.3,19.6,16.4,5.5,1.2,3.3,17.1,14.5,,0.0,0.2,0.3,.071,,-2.8,-0.1,-2.9,0.0,1987,0
Chris Engler,C,27,POR,7,17,29.1,.590,.000,.375,40.4,12.9,26.3,8.6,2.7,3.3,17.7,26.2,,0.1,0.0,0.1,.239,,7.1,-2.1,5.0,0.0,1987,0
Chris Engler,C,27,MIL,5,48,5.8,.281,.000,.083,6.9,30.5,18.5,7.7,1.0,1.3,0.0,10.6,,0.0,0.1,0.1,.052,,-6.5,-1.5,-8.1,-0.1,1987,0
Chris Engler,C,27,NJN,18,130,10.6,.551,.000,.387,12.1,16.4,14.3,4.2,1.1,4.1,21.6,14.4,,0.0,0.1,0.2,.056,,-2.7,0.7,-2.0,0.0,1987,0
Patrick Ewing*,PF,24,NYK,63,2206,18.9,.549,.007,.394,7.9,20.4,14.1,7.8,2.0,3.9,15.6,27.7,,0.6,2.8,3.5,.075,,-0.2,0.6,0.4,1.3,1987,0
Dave Feitl,C,24,HOU,62,498,10.3,.491,.005,.351,8.7,17.0,12.9,6.3,0.9,0.5,14.0,22.3,,-0.1,0.6,0.5,.049,,-4.3,-1.5,-5.8,-0.5,1987,0
Kenny Gattison,PF,22,PHO,77,1104,9.4,.523,.010,.550,9.0,18.3,13.7,4.3,1.0,1.7,18.6,17.4,,-0.3,1.0,0.7,.031,,-4.3,-1.1,-5.4,-0.9,1987,0
Artis Gilmore*,C,37,SAS,82,2405,14.2,.634,.000,.614,8.1,18.8,13.3,8.3,0.8,2.3,19.5,15.3,,3.0,1.8,4.9,.097,,-0.8,-0.2,-1.0,0.6,1987,0
Mike Gminski,C,27,NJN,72,2272,17.0,.531,.000,.391,9.5,21.6,15.6,6.6,1.1,1.8,10.4,22.0,,3.2,2.2,5.4,.115,,1.3,-0.9,0.4,1.4,1987,0
Stuart Gray,C,23,IND,55,456,8.0,.465,.000,.386,9.2,22.0,15.5,7.3,1.1,3.7,23.4,14.1,,-0.4,0.8,0.4,.037,,-5.2,1.6,-3.5,-0.2,1987,0
A.C. Green,PF,23,LAL,79,2240,15.7,.599,.009,.480,11.2,18.8,15.3,4.6,1.5,2.0,12.5,14.7,,4.3,3.3,7.6,.163,,0.9,0.1,1.0,1.7,1987,0
Sidney Green,PF,26,DET,80,1792,13.0,.509,.004,.327,12.1,26.7,19.6,4.6,1.1,1.6,17.0,16.9,,0.3,3.1,3.4,.092,,-1.6,0.0,-1.6,0.2,1987,0
Dave Greenwood,PF,29,SAS,79,2587,15.2,.580,.009,.469,10.5,23.4,16.7,12.0,1.3,1.1,16.9,14.8,,3.8,2.4,6.2,.115,,0.0,0.0,0.0,1.3,1987,0
Bill Hanzlik,PF,29,DEN,73,1990,13.9,.516,.107,.539,3.9,10.0,6.7,17.8,2.0,0.8,12.5,20.4,,2.1,1.5,3.5,.085,,-0.5,-0.2,-0.8,0.6,1987,0
Scott Hastings,PF,26,ATL,40,256,9.8,.440,.176,.426,6.8,22.7,14.8,6.5,1.9,1.6,13.9,15.1,,0.0,0.5,0.4,.081,,-2.9,1.4,-1.5,0.0,1987,0
Cedric Henderson,PF,21,TOT,8,16,15.3,.590,.000,.375,20.5,34.9,27.5,0.0,0.0,0.0,30.0,34.2,,0.0,0.0,0.0,-0.015,,-6.1,-2.5,-8.6,0.0,1987,0
Cedric Henderson,PF,21,ATL,6,10,11.1,.460,.000,.200,21.8,10.7,16.2,0.0,0.0,0.0,15.5,26.5,,0.0,0.0,0.0,.018,,-4.8,-3.5,-8.3,0.0,1987,0
Cedric Henderson,PF,21,MIL,2,6,22.2,.773,.000,.667,18.3,75.1,46.4,0.0,0.0,0.0,43.6,46.9,,0.0,0.0,0.0,-0.071,,-8.1,-0.9,-9.0,0.0,1987,0
Jerome Henderson,PF,27,MIL,6,36,-2.4,.407,.000,.308,6.1,15.6,10.8,0.0,1.3,1.7,28.9,23.6,,-0.2,0.0,-0.1,-0.154,,-14.2,-1.9,-16.1,-0.1,1987,0
Marc Iavaroni,PF,30,UTA,78,845,7.8,.522,.019,.540,7.8,13.5,10.6,5.6,0.9,0.7,17.4,15.1,,0.0,1.1,1.1,.062,,-4.9,-0.1,-4.9,-0.6,1987,0
Clemon Johnson,C,30,SEA,78,1051,10.0,.543,.011,.618,11.0,17.8,14.4,2.4,0.9,2.3,13.7,9.8,,1.0,0.9,2.0,.089,,-1.7,-0.7,-2.3,-0.1,1987,0
Steffond Johnson,PF,24,LAC,29,234,4.7,.458,.047,.594,6.5,14.2,10.1,3.0,1.8,0.5,18.2,16.8,,-0.3,0.1,-0.2,-0.037,,-8.3,-1.5,-9.8,-0.5,1987,0
Steve Johnson,C,29,POR,79,2345,15.1,.602,.000,.551,9.5,17.4,13.5,9.3,1.0,1.8,20.0,23.1,,2.1,2.4,4.4,.091,,-1.0,-0.4,-1.4,0.3,1987,0
Caldwell Jones,PF,36,POR,78,1578,8.7,.573,.009,.554,8.3,23.6,16.1,4.8,0.7,2.7,23.8,9.1,,0.6,2.0,2.6,.078,,-2.6,0.8,-1.9,0.0,1987,0
Charles Jones,PF,29,WSB,79,1609,10.6,.503,.004,.305,9.3,14.2,11.7,6.4,2.0,5.7,21.4,9.0,,0.2,2.6,2.8,.083,,-3.0,3.3,0.3,1.0,1987,0
Clark Kellogg,PF,25,IND,4,60,10.2,.421,.091,.182,12.5,7.4,10.0,13.6,4.0,0.0,14.4,19.3,,0.0,0.1,0.1,.045,,-3.0,1.8,-1.3,0.0,1987,0
Tim Kempton,PF,23,LAC,66,936,10.2,.543,.005,.665,7.6,15.8,11.4,7.7,1.9,0.7,15.5,13.4,,0.7,0.6,1.3,.066,,-3.7,-0.1,-3.8,-0.4,1987,0
Curtis Kitchen,PF,23,SEA,6,31,18.5,.580,.167,.667,14.0,17.6,15.8,4.0,3.0,5.5,0.0,9.9,,0.1,0.1,0.1,.217,,1.8,3.0,4.8,0.1,1987,0
Greg Kite,C,25,BOS,74,745,6.0,.429,.009,.691,10.1,15.0,12.8,4.2,1.1,3.4,19.2,10.1,,-0.4,1.0,0.7,.044,,-5.4,0.8,-4.7,-0.5,1987,0
Joe Kleine,C,25,SAC,79,1658,12.4,.514,.002,.258,11.3,20.5,15.9,5.8,1.0,1.0,13.0,16.7,,1.3,1.3,2.6,.074,,-1.8,-1.0,-2.8,-0.3,1987,0
Jon Koncak,C,23,ATL,82,1684,10.9,.531,.003,.543,9.9,21.7,15.8,2.4,1.5,2.7,17.4,12.9,,0.7,3.0,3.7,.106,,-2.7,1.3,-1.4,0.3,1987,0
Larry Krystkowiak,PF,22,SAS,68,1004,13.0,.515,.032,.397,8.1,18.5,13.1,11.7,1.0,0.7,13.3,20.2,,0.8,0.7,1.4,.069,,-2.0,-1.4,-3.4,-0.3,1987,0
Bill Laimbeer,C,29,DET,82,2854,17.4,.559,.021,.271,9.4,26.1,18.0,7.4,1.2,1.4,9.6,17.7,,5.6,4.9,10.5,.176,,1.4,0.8,2.3,3.0,1987,0
Jim Lampley,C,26,PHI,1,16,8.3,.387,.000,.667,7.4,28.1,18.0,0.0,3.1,0.0,20.5,12.8,,0.0,0.0,0.0,-0.003,,-2.8,-2.8,-5.6,0.0,1987,0
Keith Lee,PF,24,CLE,67,870,13.8,.492,.003,.270,11.6,19.5,15.6,12.2,1.4,2.6,16.9,23.2,,-0.3,1.3,1.1,.060,,-2.7,0.3,-2.3,-0.1,1987,0
Cliff Levingston,PF,26,ATL,82,1848,14.3,.557,.006,.427,12.9,18.2,15.6,2.9,1.3,2.2,10.9,14.7,,3.2,2.9,6.1,.157,,-0.1,0.5,0.4,1.1,1987,0
Alton Lister,C,28,SEA,75,2288,14.0,.542,.001,.386,10.6,23.0,16.8,6.4,0.7,4.5,17.4,16.7,,1.4,2.7,4.1,.086,,-1.5,0.5,-1.0,0.6,1987,0
Maurice Lucas,PF,34,SEA,63,1120,13.7,.532,.013,.482,8.5,21.4,14.9,7.8,1.4,1.1,13.8,19.2,,1.3,1.2,2.4,.104,,-1.5,-0.3,-1.7,0.1,1987,0
Rick Mahorn,PF,28,DET,63,1278,10.2,.514,.000,.363,8.1,23.1,15.8,3.8,1.2,2.3,16.4,14.1,,0.3,2.2,2.5,.095,,-3.4,1.4,-2.0,0.0,1987,0
Karl Malone*,PF,23,UTA,82,2857,18.0,.536,.005,.380,10.0,21.2,15.6,8.8,1.7,1.2,12.5,26.3,,1.8,5.1,6.9,.116,,0.3,0.0,0.3,1.7,1987,0
Moses Malone*,C,31,WSB,73,2488,23.8,.545,.008,.528,14.2,21.0,17.6,7.9,1.1,2.1,11.1,29.3,,6.0,3.4,9.4,.182,,4.3,-1.5,2.8,3.0,1987,0
Fernando Martín,C,24,POR,24,146,-0.9,.307,.032,.355,6.3,15.0,10.7,7.2,2.2,0.4,35.8,15.0,,-0.6,0.2,-0.4,-0.144,,-9.4,-0.9,-10.3,-0.3,1987,0
Tim McCormick,C,24,PHI,81,2817,12.9,.593,.006,.486,7.5,17.2,12.5,5.8,0.6,1.3,14.9,15.3,,3.7,2.4,6.0,.102,,-0.8,-0.9,-1.7,0.2,1987,0
Scooter McCray,PF,26,CLE,24,279,8.7,.482,.000,.631,7.4,15.0,11.2,11.1,1.5,0.8,22.4,15.4,,-0.2,0.3,0.1,.018,,-3.2,0.8,-2.4,0.0,1987,0
Ben McDonald,PF,24,GSW,63,1284,7.2,.469,.022,.106,5.3,10.3,7.8,8.6,1.0,0.4,10.2,13.2,,0.2,0.5,0.7,.027,,-3.7,-0.9,-4.6,-0.8,1987,0
Hank McDowell,PF,27,MIL,7,70,10.7,.548,.000,.412,14.1,16.1,15.1,3.8,1.4,0.0,13.0,13.5,,0.1,0.1,0.2,.130,,-2.6,-0.1,-2.6,0.0,1987,0
Kevin McHale*,PF,29,BOS,77,3060,24.0,.655,.003,.392,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,,10.8,4.0,14.8,.232,,4.7,0.4,5.1,5.5,1987,0
Mark McNamara,C,27,PHI,11,113,8.2,.456,.000,.633,17.7,18.9,18.3,2.5,0.4,0.0,17.3,17.2,,-0.1,0.1,0.0,.007,,-3.4,-3.0,-6.4,-0.1,1987,0
Chris McNealy,PF,25,NYK,59,972,8.7,.532,.000,.447,8.5,17.8,13.1,6.3,1.8,1.0,23.0,11.9,,-0.1,0.9,0.8,.039,,-3.4,0.2,-3.2,-0.3,1987,0
Cozell McQueen,PF,25,DET,3,7,58.3,1.000,.000,.000,47.4,74.7,61.5,0.0,0.0,8.2,0.0,17.3,,0.1,0.0,0.1,.627,,21.0,5.1,26.1,0.0,1987,0
Paul Mokeski,C,30,MIL,62,626,7.4,.477,.008,.496,7.9,16.7,12.3,4.4,1.4,1.3,12.3,11.7,,0.2,0.8,1.1,.081,,-4.1,0.5,-3.5,-0.2,1987,0
Jay Murphy,PF,24,WSB,21,141,13.5,.449,.000,.222,12.5,16.9,14.7,5.6,1.0,0.8,7.1,24.2,,0.0,0.2,0.2,.060,,-1.9,-2.2,-4.1,-0.1,1987,0
Larry Nance,PF,27,PHO,69,2569,22.2,.607,.005,.464,8.4,17.6,13.1,13.5,1.6,3.3,10.4,22.6,,7.3,2.8,10.2,.190,,3.9,1.1,5.0,4.5,1987,0
Calvin Natt,PF,30,DEN,1,20,15.2,.460,.000,.200,9.9,16.8,13.1,13.4,2.3,0.0,8.4,22.8,,0.0,0.0,0.0,.076,,-2.7,-2.4,-5.1,0.0,1987,0
Ed Nealy,PF,26,SAS,60,980,11.3,.501,.161,.359,10.4,22.0,16.0,10.5,1.9,0.6,13.9,10.6,,0.9,1.0,1.9,.095,,-2.2,0.4,-1.8,0.1,1987,0
