Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
Larry Micheaux,PF,24,MIL,18,0,171,3.6,7.4,.486,0.0,0.0,,3.6,7.4,.486,2.5,3.6,.706,3.8,5.5,9.3,2.7,1.7,1.5,1.7,5.5,9.7,1985,0
Larry Micheaux,PF,24,HOU,39,0,394,6.8,11.1,.607,0.0,0.3,.000,6.8,10.9,.622,1.6,2.4,.654,4.0,5.0,9.0,1.6,1.1,1.3,2.6,4.5,15.1,1985,0
Paul Mokeski,C,28,MIL,79,6,1586,4.7,9.7,.478,0.0,0.0,.000,4.7,9.7,.480,1.8,2.6,.698,2.4,6.9,9.3,2.2,0.6,0.8,1.9,6.0,11.1,1985,0
Jay Murphy,PF,22,LAC,23,0,149,1.9,12.1,.160,0.0,0.2,.000,1.9,11.8,.163,2.9,5.1,.571,1.4,8.5,9.9,1.0,0.2,0.5,1.9,5.1,6.8,1985,0
Larry Nance,PF,25,PHO,61,55,2202,8.4,14.3,.587,0.0,0.0,.500,8.4,14.3,.587,2.9,4.2,.709,3.2,5.6,8.8,2.6,1.4,1.7,2.2,3.0,19.8,1985,0
Calvin Natt,PF,28,DEN,78,76,2657,9.3,17.0,.546,0.0,0.0,.000,9.3,17.0,.547,6.1,7.6,.793,2.8,5.4,8.3,3.2,1.0,0.4,2.6,2.5,24.6,1985,0
Ed Nealy,PF,24,KCK,22,0,225,4.2,7.0,.591,0.0,0.0,,4.2,7.0,.591,1.6,3.0,.526,2.4,4.6,7.0,2.9,0.5,0.2,1.9,4.2,9.9,1985,0
Chuck Nevitt,C,25,LAL,11,0,59,3.1,10.4,.294,0.0,0.0,,3.1,10.4,.294,1.2,4.9,.250,3.1,9.2,12.2,1.8,0.0,9.2,6.1,12.2,7.3,1985,0
Kurt Nimphius,C,26,DAL,82,40,2010,3.5,7.8,.452,0.0,0.1,.000,3.5,7.7,.458,1.9,2.5,.771,2.4,4.9,7.3,3.3,0.5,2.3,1.7,4.7,9.0,1985,0
Audie Norris,C,24,POR,78,13,1117,4.3,7.9,.543,0.0,0.1,.000,4.3,7.8,.550,4.4,6.5,.665,2.9,5.2,8.1,1.5,1.4,1.1,3.2,7.1,12.9,1985,0
Hakeem Olajuwon*,C,22,HOU,82,82,2914,8.4,15.5,.538,0.0,0.0,,8.4,15.5,.538,4.2,6.8,.613,5.4,6.6,12.0,1.4,1.2,2.7,2.9,4.2,20.9,1985,0
Mark Olberding,PF,28,KCK,81,62,2277,4.2,8.3,.502,0.0,0.0,.000,4.2,8.3,.505,4.6,5.6,.832,2.2,5.9,8.1,3.8,0.9,0.2,2.9,4.7,13.0,1985,0
Jawann Oldham,C,27,CHI,63,0,993,3.2,7.0,.464,0.0,0.0,.000,3.2,6.9,.466,1.2,1.8,.680,2.9,5.7,8.6,1.1,0.4,4.6,2.1,6.0,7.7,1985,0
Louis Orr,PF,26,NYK,79,31,2452,5.5,11.2,.486,0.0,0.1,.100,5.4,11.1,.491,3.8,4.9,.784,2.5,3.2,5.7,2.0,1.5,0.4,2.0,2.9,14.8,1985,0
Robert Parish*,C,31,BOS,79,78,2850,7.0,12.8,.542,0.0,0.0,,7.0,12.8,.542,3.7,5.0,.743,3.3,7.3,10.6,1.6,0.7,1.3,2.3,2.8,17.6,1985,0
Billy Paultz,C,36,UTA,62,0,370,3.1,8.5,.368,0.0,0.0,,3.1,8.5,.368,1.8,2.7,.643,2.3,7.0,9.3,1.6,0.6,1.1,2.9,5.0,8.0,1985,0
Sam Perkins,PF,23,DAL,82,42,2317,5.4,11.4,.471,0.1,0.6,.250,5.3,10.9,.483,3.1,3.8,.820,2.9,6.5,9.4,2.1,1.0,1.0,1.6,3.7,14.0,1985,0
Jim Petersen,PF,22,HOU,60,0,714,3.5,7.3,.486,0.0,0.0,,3.5,7.3,.486,2.5,3.3,.758,2.2,5.2,7.4,1.5,0.7,1.6,3.6,6.3,9.6,1985,0
Gary Plummer,PF,22,GSW,66,0,702,4.7,11.9,.397,0.1,0.2,.250,4.7,11.7,.399,3.3,4.7,.707,2.8,4.1,6.9,1.3,0.8,0.7,2.6,6.5,12.8,1985,0
Ben Poquette,PF,29,CLE,79,6,1656,4.6,9.9,.460,0.1,0.4,.176,4.5,9.6,.470,2.4,3.0,.796,3.2,7.1,10.3,1.7,1.0,1.3,1.5,4.8,11.6,1985,0
Kurt Rambis,PF,26,LAL,82,46,1617,4.0,7.3,.554,0.0,0.0,,4.0,7.3,.554,1.5,2.3,.660,3.7,8.1,11.8,1.5,1.8,1.0,2.2,4.7,9.6,1985,0
Fred Roberts,PF,24,TOT,74,0,1178,6.4,12.8,.498,0.0,0.0,1.000,6.3,12.7,.496,4.6,5.6,.824,2.4,3.3,5.7,2.7,0.9,0.7,2.7,4.3,17.3,1985,0
Fred Roberts,PF,24,SAS,22,0,305,5.2,11.6,.449,0.0,0.0,,5.2,11.6,.449,3.4,4.5,.763,1.2,3.0,4.1,2.6,1.2,1.4,2.5,5.3,13.8,1985,0
Fred Roberts,PF,24,UTA,52,0,873,6.8,13.2,.513,0.0,0.0,1.000,6.7,13.2,.511,5.0,5.9,.840,2.8,3.4,6.2,2.7,0.7,0.4,2.8,4.0,18.6,1985,0
Rick Robey,C,29,PHO,4,0,48,1.5,6.8,.222,0.0,0.0,,1.5,6.8,.222,0.7,1.5,.500,2.3,3.7,6.0,3.7,1.5,0.0,6.0,5.2,3.7,1985,0
Cliff Robinson,PF,24,WSB,60,37,1870,8.1,17.2,.471,0.0,0.1,.333,8.1,17.2,.471,3.0,4.1,.742,2.7,7.8,10.5,2.9,1.0,0.9,3.1,3.6,19.3,1985,0
Truck Robinson,PF,33,NYK,2,1,35,2.1,5.1,.400,0.0,0.0,,2.1,5.1,.400,0.0,2.1,.000,6.2,3.1,9.3,3.1,2.1,3.1,5.1,3.1,4.1,1985,0
Tree Rollins,C,29,ATL,70,60,1750,3.8,7.0,.549,0.0,0.0,,3.8,7.0,.549,1.4,1.9,.720,2.3,6.8,9.1,1.1,0.7,3.4,1.6,4.4,9.0,1985,0
Dan Roundfield,PF,31,DET,56,43,1492,5.7,12.2,.467,0.0,0.0,.000,5.7,12.1,.469,3.4,4.3,.781,4.2,6.7,10.9,2.5,0.6,1.3,3.0,3.5,14.7,1985,0
Jeff Ruland,C,26,WSB,37,36,1436,6.3,11.0,.569,0.0,0.1,.000,6.3,11.0,.572,5.0,7.3,.685,3.2,7.1,10.3,4.1,0.8,0.7,4.5,3.2,17.5,1985,0
Ralph Sampson*,PF,24,HOU,82,82,3086,8.8,17.5,.502,0.0,0.1,.000,8.8,17.4,.504,3.5,5.2,.676,2.6,7.3,10.0,2.6,0.9,2.0,3.8,3.6,21.1,1985,0
Wayne Sappleton,PF,24,NJN,33,0,298,5.0,10.5,.471,0.0,0.0,,5.0,10.5,.471,1.7,4.1,.412,3.4,5.7,9.1,0.8,0.8,0.5,2.5,6.0,11.6,1985,0
Danny Schayes,C,25,DEN,56,0,542,4.0,8.6,.465,0.0,0.0,,4.0,8.6,.465,5.2,6.4,.814,3.2,6.4,9.6,2.5,1.3,1.7,2.9,6.5,13.2,1985,0
Tom Scheffler,C,30,POR,39,0,268,2.8,6.9,.412,0.0,0.0,,2.8,6.9,.412,1.3,2.7,.500,2.4,7.8,10.2,1.5,1.1,1.5,2.0,6.4,7.0,1985,0
Lonnie Shelton,PF,29,CLE,57,14,1244,4.6,10.5,.435,0.0,0.1,.000,4.6,10.4,.441,1.5,2.2,.662,2.4,5.4,7.7,2.8,1.3,0.5,2.1,5.4,10.6,1985,0
Jack Sikma*,C,29,SEA,68,68,2402,6.9,14.1,.489,0.0,0.1,.200,6.9,14.0,.492,5.0,5.9,.852,2.5,8.4,10.8,4.3,1.2,1.4,2.4,3.6,18.9,1985,0
Larry Smith,PF,27,GSW,80,78,2497,5.3,9.9,.530,0.0,0.0,,5.3,9.9,.530,2.2,3.7,.605,5.8,6.7,12.5,1.4,1.1,0.8,2.3,4.1,12.8,1985,0
Larry Spriggs,PF,25,LAL,75,32,1292,5.4,9.9,.548,0.0,0.1,.000,5.4,9.8,.553,3.1,4.1,.767,2.1,4.2,6.3,3.7,1.3,0.4,3.2,5.4,13.9,1985,0
Steve Stipanovich,C,24,IND,82,66,2315,6.4,13.5,.475,0.0,0.2,.091,6.4,13.4,.480,4.6,5.8,.798,2.2,7.4,9.5,3.1,1.1,1.2,2.9,4.1,17.5,1985,0
LaSalle Thompson,C,23,KCK,82,77,2458,5.4,10.2,.531,0.0,0.0,,5.4,10.2,.531,3.3,4.6,.721,4.0,8.5,12.5,1.9,1.4,1.9,3.0,4.8,14.1,1985,0
Mychal Thompson,PF,30,POR,79,55,2616,7.9,15.3,.515,0.0,0.0,,7.9,15.3,.515,4.2,6.2,.684,2.9,5.6,8.5,2.8,1.1,1.4,3.2,3.0,20.0,1985,0
Otis Thorpe,PF,22,KCK,82,23,1918,7.7,12.9,.600,0.0,0.0,.000,7.7,12.8,.602,4.3,7.0,.620,3.5,6.9,10.4,2.1,0.6,0.7,3.5,4.8,19.7,1985,0
Jeff Turner,PF,22,NJN,72,36,1429,4.3,9.5,.454,0.0,0.1,.000,4.3,9.4,.457,2.0,2.3,.859,2.2,3.3,5.5,2.7,0.7,0.2,2.3,6.1,10.6,1985,0
Melvin Turpin,C,24,CLE,79,45,1949,6.7,13.1,.511,0.0,0.0,,6.7,13.1,.511,2.0,2.6,.784,2.9,5.5,8.3,0.7,0.7,1.6,2.2,3.9,15.4,1985,0
Pete Verhoeven,PF,25,KCK,54,0,366,5.0,10.6,.472,0.0,0.0,,5.0,10.6,.472,2.1,2.5,.840,2.8,3.4,6.2,1.7,1.5,0.7,2.0,8.4,12.1,1985,0
Jay Vincent,PF,25,DAL,79,47,2543,7.7,16.1,.479,0.0,0.1,.000,7.7,16.1,.481,5.0,5.9,.836,2.6,7.3,10.0,2.4,0.7,0.3,2.4,3.2,20.4,1985,0
Granville Waiters,C,24,IND,62,5,703,4.4,9.7,.447,0.0,0.1,.000,4.4,9.7,.450,1.5,2.6,.580,2.9,5.8,8.7,1.5,0.8,2.3,2.8,5.5,10.2,1985,0
Bill Walton*,C,32,LAC,67,37,1647,5.9,11.3,.521,0.0,0.0,.000,5.9,11.2,.523,3.0,4.4,.680,3.7,9.4,13.1,3.4,1.1,3.1,3.8,4.0,14.8,1985,0
Mark West,C,24,TOT,66,25,888,4.3,7.9,.546,0.0,0.0,.000,4.3,7.8,.549,1.7,3.5,.494,3.6,6.5,10.2,0.6,0.5,2.0,2.4,8.0,10.3,1985,0
Mark West,C,24,MIL,1,0,6,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,12.0,12.0,1.000,6.0,0.0,6.0,0.0,0.0,6.0,12.0,24.0,12.0,1985,0
Mark West,C,24,CLE,65,25,882,4.3,7.9,.549,0.0,0.0,.000,4.3,7.8,.552,1.7,3.5,.482,3.6,6.6,10.2,0.6,0.5,2.0,2.3,7.9,10.3,1985,0
Rory White,PF,25,LAC,80,14,1106,4.7,9.1,.516,0.0,0.0,,4.7,9.1,.516,2.9,4.2,.692,3.1,3.3,6.3,1.1,1.1,0.7,2.8,3.7,12.3,1985,0
Jerome Whitehead,C,28,GSW,79,78,2536,6.0,11.7,.510,0.0,0.0,,6.0,11.7,.510,2.6,3.3,.783,3.1,5.7,8.8,0.8,0.6,0.6,2.0,4.6,14.6,1985,0
Eddie Lee Wilkins,C,22,NYK,54,16,917,4.6,9.1,.498,0.0,0.1,.000,4.6,9.1,.502,2.6,4.8,.541,3.4,6.9,10.3,0.6,0.8,0.6,2.5,6.1,11.7,1985,0
Jeff Wilkins,C,29,UTA,79,0,1505,6.8,13.9,.490,0.0,0.0,.000,6.8,13.9,.491,1.5,1.9,.763,1.9,6.9,8.8,1.9,0.8,0.4,2.2,4.1,15.1,1985,0
Dale Wilkinson,PF,24,DET,2,0,7,0.0,10.3,.000,0.0,0.0,,0.0,10.3,.000,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,10.3,0.0,1985,0
Buck Williams,PF,24,NJN,82,82,3182,6.5,12.3,.530,0.0,0.0,.250,6.5,12.3,.531,3.8,6.1,.625,3.7,7.7,11.4,1.9,0.7,1.2,2.7,3.3,16.9,1985,0
Herb Williams,C,26,IND,75,70,2557,8.1,17.0,.475,0.0,0.1,.111,8.1,16.9,.478,3.2,4.8,.657,2.2,6.8,8.9,3.5,0.8,1.9,3.7,3.1,19.4,1985,0
Sam Williams,PF,25,PHI,46,8,488,4.3,10.9,.392,0.0,0.1,.000,4.3,10.8,.395,2.1,3.5,.596,2.8,5.0,7.8,0.8,1.9,1.9,3.2,6.8,10.6,1985,0
Kevin Willis,PF,22,ATL,82,19,1785,6.5,13.9,.467,0.0,0.2,.222,6.5,13.7,.470,2.4,3.7,.657,3.6,7.0,10.5,0.7,0.6,1.0,2.1,4.6,15.4,1985,0
Kareem Abdul-Jabbar*,C,38,LAL,79,79,2629,10.3,18.3,.564,0.0,0.0,.000,10.3,18.3,.565,4.6,6.0,.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3,1986,1
Alvan Adams,C,31,PHO,78,45,2005,6.1,12.2,.502,0.0,0.0,.000,6.1,12.2,.504,2.9,3.6,.783,2.7,5.9,8.6,5.8,1.8,0.8,3.7,4.9,15.1,1986,0
James Bailey,PF,28,NYK,48,36,1245,5.8,12.8,.456,0.0,0.1,.000,5.8,12.7,.460,3.7,4.8,.772,2.9,6.7,9.7,1.4,1.0,1.2,2.9,6.0,15.4,1986,0
Thurl Bailey,PF,24,UTA,82,13,2358,7.4,16.4,.448,0.0,0.1,.000,7.4,16.3,.451,3.5,4.2,.830,2.3,5.3,7.5,2.3,0.6,1.7,2.2,2.4,18.3,1986,0
Ken Bannister,PF,25,NYK,70,15,1405,6.0,12.3,.491,0.0,0.0,.000,6.0,12.2,.492,3.4,6.4,.526,2.3,6.0,8.3,1.1,1.1,0.6,3.3,5.3,15.4,1986,0
Charles Barkley*,PF,22,PHI,80,80,2952,7.3,12.7,.572,0.2,0.9,.227,7.0,11.8,.598,4.8,7.0,.685,4.3,8.2,12.5,3.8,2.1,1.5,4.3,4.1,19.5,1986,0
Benoit Benjamin,C,21,LAC,79,37,2088,5.6,11.4,.490,0.0,0.1,.333,5.6,11.3,.491,3.9,5.3,.746,2.8,7.6,10.3,1.4,1.1,3.6,2.5,4.9,15.1,1986,0
Kent Benson,C,31,DET,72,51,1344,5.4,11.1,.484,0.0,0.1,.500,5.4,11.1,.484,1.8,2.2,.795,3.2,6.9,10.1,2.1,1.6,1.4,1.6,5.2,12.6,1986,0
Uwe Blab,C,23,DAL,48,0,409,3.9,8.3,.468,0.0,0.0,,3.9,8.3,.468,3.2,5.9,.537,2.2,5.8,8.0,1.5,0.3,1.1,2.5,5.7,10.9,1986,0
Manute Bol,C,23,WSB,80,60,2090,2.2,4.8,.460,0.0,0.0,.000,2.2,4.8,.462,0.7,1.5,.488,2.1,6.1,8.2,0.4,0.5,6.8,1.1,4.4,5.1,1986,0
Sam Bowie,C,24,POR,38,34,1132,5.3,11.0,.484,0.0,0.0,,5.3,11.0,.484,3.6,5.1,.708,3.0,7.4,10.4,3.1,0.7,3.1,2.8,4.5,14.2,1986,0
Randy Breuer,C,25,MIL,82,63,1792,5.5,11.5,.477,0.0,0.0,.000,5.5,11.4,.478,2.8,4.0,.712,3.2,6.0,9.2,2.3,1.0,2.3,2.5,4.3,13.8,1986,0
Frank Brickowski,C,26,SEA,40,2,311,3.5,6.7,.517,0.0,0.0,,3.5,6.7,.517,2.1,3.1,.667,1.9,4.4,6.3,2.4,1.3,0.8,2.7,8.6,9.0,1986,0
Mike Brittain,C,22,SAS,32,2,219,3.6,7.1,.512,0.0,0.0,,3.6,7.1,.512,1.6,3.1,.526,1.6,6.4,8.1,0.8,0.5,2.0,3.3,8.9,8.9,1986,0
Wallace Bryant,C,26,TOT,17,8,218,2.5,7.9,.313,0.0,0.0,,2.5,7.9,.313,1.8,3.1,.579,2.8,5.9,8.8,2.5,0.8,0.8,1.5,6.3,6.8,1986,0
Wallace Bryant,C,26,DAL,9,8,154,2.6,7.0,.367,0.0,0.0,,2.6,7.0,.367,1.4,2.6,.545,2.1,5.6,7.7,2.6,0.7,0.5,1.6,6.1,6.5,1986,0
Wallace Bryant,C,26,LAC,8,0,64,2.3,10.1,.222,0.0,0.0,,2.3,10.1,.222,2.8,4.5,.625,4.5,6.8,11.3,2.3,1.1,1.7,1.1,6.8,7.3,1986,0
Michael Cage,PF,24,LAC,78,12,1566,4.7,9.8,.479,0.0,0.1,.000,4.7,9.7,.482,2.6,4.0,.649,3.9,5.7,9.6,1.9,1.4,0.8,2.4,4.0,12.0,1986,0
Antoine Carr,PF,24,ATL,17,0,258,6.8,13.0,.527,0.0,0.0,,6.8,13.0,.527,2.5,3.8,.667,2.2,5.0,7.3,2.0,1.0,2.1,2.0,7.1,16.2,1986,0
Kenny Carr,PF,30,POR,55,31,1557,5.4,10.8,.498,0.0,0.1,.000,5.4,10.7,.502,3.4,5.0,.687,3.4,8.0,11.4,1.6,0.9,0.7,2.5,4.7,14.2,1986,0
Joe Barry Carroll,C,27,GSW,79,79,2801,8.4,18.0,.463,0.0,0.0,.000,8.4,18.0,.464,4.8,6.4,.752,2.5,6.1,8.6,2.3,1.3,1.8,3.5,3.6,21.6,1986,0
Bill Cartwright,C,28,NYK,2,0,36,3.0,7.0,.429,0.0,0.0,,3.0,7.0,.429,6.0,10.0,.600,2.0,8.0,10.0,5.0,1.0,1.0,6.0,6.0,12.0,1986,0
Terry Catledge,PF,22,PHI,64,7,1092,6.7,14.2,.469,0.0,0.1,.000,6.7,14.1,.473,3.0,4.6,.647,3.5,5.4,9.0,0.7,1.0,0.3,2.3,4.2,16.3,1986,0
Bobby Cattage,PF,27,NJN,29,1,185,5.4,16.2,.337,0.2,1.0,.200,5.3,15.2,.346,6.8,8.6,.795,2.9,3.7,6.6,0.8,1.2,0.0,2.5,4.5,17.9,1986,0
Tom Chambers,PF,26,SEA,66,26,2019,7.7,16.5,.466,0.2,0.9,.271,7.5,15.7,.476,6.2,7.4,.836,2.2,5.4,7.7,2.4,1.0,0.7,3.5,4.4,21.8,1986,0
Jeff Cook,PF,29,TOT,36,0,373,3.0,7.0,.425,0.0,0.1,.000,3.0,6.9,.431,2.6,4.1,.643,3.2,5.1,8.3,2.0,1.3,1.1,1.4,6.3,8.6,1986,0
Jeff Cook,PF,29,SAS,34,0,356,2.8,6.8,.418,0.0,0.1,.000,2.8,6.7,.424,2.6,4.1,.634,3.1,5.1,8.2,2.1,1.3,1.1,1.1,6.5,8.3,1986,0
Jeff Cook,PF,29,UTA,2,0,17,6.4,12.7,.500,0.0,0.0,,6.4,12.7,.500,2.1,2.1,1.000,4.2,6.4,10.6,0.0,0.0,0.0,6.4,2.1,14.8,1986,0
David Cooke,PF,22,SAC,6,0,38,1.9,10.4,.182,0.0,0.0,,1.9,10.4,.182,4.7,9.5,.500,4.7,4.7,9.5,0.9,3.8,0.0,1.9,4.7,8.5,1986,0
Wayne Cooper,C,29,DEN,78,78,2112,7.2,15.4,.466,0.1,0.1,.429,7.1,15.3,.466,3.0,3.7,.795,3.2,7.2,10.4,1.4,0.7,3.9,2.0,5.4,17.4,1986,0
Dave Corzine,C,29,CHI,67,4,1709,5.4,10.9,.491,0.1,0.3,.250,5.3,10.7,.497,2.7,3.6,.743,2.8,6.3,9.1,3.2,0.6,1.1,2.2,2.8,13.5,1986,0
Ron Crevier,C,27,TOT,3,0,4,0.0,27.0,.000,0.0,0.0,,0.0,27.0,.000,0.0,18.0,.000,9.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,1986,0
Ron Crevier,C,27,GSW,1,0,1,0.0,36.0,.000,0.0,0.0,,0.0,36.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986,0
Ron Crevier,C,27,DET,2,0,3,0.0,24.0,.000,0.0,0.0,,0.0,24.0,.000,0.0,24.0,.000,12.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,1986,0
Jeff Cross,PF,24,LAC,21,0,128,1.7,6.8,.250,0.0,0.0,,1.7,6.8,.250,3.9,7.0,.560,2.5,5.9,8.4,0.3,0.6,0.8,1.7,10.7,7.3,1986,0
Pat Cummings,C,29,NYK,31,30,1007,7.0,14.6,.478,0.0,0.1,.000,7.0,14.5,.480,3.5,5.0,.698,3.3,6.7,10.0,1.7,1.0,0.4,3.1,4.9,17.4,1986,0
Terry Cummings,PF,24,MIL,82,82,2669,9.2,19.4,.474,0.0,0.0,.000,9.2,19.4,.474,3.6,5.4,.656,3.0,6.4,9.4,2.6,1.6,0.7,2.6,3.8,21.9,1986,0
Earl Cureton,PF,28,DET,80,19,2017,5.1,10.1,.505,0.0,0.0,.000,5.1,10.0,.507,2.1,3.8,.555,3.5,5.5,9.0,2.4,1.0,1.0,2.7,4.3,12.3,1986,0
Darryl Dawkins,C,29,NJN,51,3,1207,8.5,13.2,.644,0.0,0.0,.000,8.5,13.1,.645,6.3,8.9,.707,2.5,5.0,7.5,2.3,0.5,1.8,3.7,6.8,23.2,1986,0
James Donaldson,C,28,TOT,83,78,2682,3.4,6.2,.558,0.0,0.0,,3.4,6.2,.558,2.7,3.4,.803,2.3,8.4,10.7,1.3,0.4,1.9,1.7,2.5,9.6,1986,0
James Donaldson,C,28,LAC,14,14,441,3.5,6.9,.512,0.0,0.0,,3.5,6.9,.512,4.7,5.7,.814,2.3,8.4,10.7,1.0,0.4,2.4,3.1,2.7,11.7,1986,0
James Donaldson,C,28,DAL,69,64,2241,3.4,6.0,.568,0.0,0.0,,3.4,6.0,.568,2.4,3.0,.799,2.3,8.4,10.7,1.3,0.4,1.8,1.4,2.5,9.2,1986,0
Mark Eaton,C,29,UTA,80,80,2551,3.9,8.3,.470,0.0,0.0,,3.9,8.3,.470,1.7,2.9,.604,2.4,7.1,9.5,1.4,0.5,5.2,2.2,4.0,9.5,1986,0
James Edwards,C,30,PHO,52,51,1314,8.7,16.1,.542,0.0,0.0,,8.7,16.1,.542,5.8,8.3,.702,2.2,6.1,8.2,2.0,0.6,0.8,3.5,5.5,23.2,1986,0
Patrick Ewing*,C,23,NYK,50,50,1771,7.8,16.5,.474,0.0,0.1,.000,7.8,16.4,.477,4.6,6.2,.739,2.5,6.6,9.2,2.1,1.1,2.1,3.5,3.9,20.3,1986,0
Bill Garnett,PF,25,IND,80,2,1197,3.4,7.2,.469,0.0,0.1,.000,3.4,7.1,.473,3.5,4.9,.716,3.2,5.1,8.3,2.9,1.2,0.7,2.7,5.2,10.2,1986,0
Mike Gibson,PF,25,DET,32,0,161,4.5,11.4,.392,0.0,0.0,,4.5,11.4,.392,1.8,2.5,.727,3.4,5.6,8.9,1.1,1.8,0.9,1.3,7.8,10.7,1986,0
Artis Gilmore*,C,36,SAS,71,71,2395,6.4,10.3,.618,0.0,0.0,.000,6.4,10.3,.619,5.1,7.2,.701,2.5,6.5,9.0,1.5,0.6,1.6,2.8,3.6,17.8,1986,0
Georgi Glouchkov,PF,26,PHO,49,16,772,3.9,9.7,.402,0.0,0.0,1.000,3.9,9.7,.399,3.3,5.7,.574,1.4,6.2,7.6,1.5,1.2,1.2,3.5,5.8,11.1,1986,0
Mike Gminski,C,26,NJN,81,78,2525,7.0,13.5,.517,0.0,0.0,.000,7.0,13.5,.518,5.0,5.6,.893,2.9,6.6,9.5,1.9,0.8,1.0,2.0,2.3,19.0,1986,0
Stuart Gray,C,22,IND,67,3,423,4.6,9.2,.500,0.0,0.0,,4.6,9.2,.500,4.0,6.3,.635,3.8,6.2,10.0,1.3,0.7,0.9,2.7,8.0,13.2,1986,0
A.C. Green,PF,22,LAL,82,1,1542,4.9,9.1,.539,0.0,0.1,.167,4.9,8.9,.545,2.4,3.9,.611,3.7,5.2,8.9,1.3,1.1,1.1,2.3,5.3,12.2,1986,0
Ken Green,PF,26,NYK,7,0,72,6.5,13.5,.481,0.0,0.0,,6.5,13.5,.481,2.5,4.5,.556,6.0,7.5,13.5,1.0,2.0,0.0,0.5,4.0,15.5,1986,0
Sidney Green,PF,25,CHI,80,68,2307,6.4,13.7,.465,0.0,0.1,.000,6.4,13.5,.469,4.1,5.2,.782,3.2,7.0,10.3,2.2,1.1,0.6,3.4,4.6,16.8,1986,0
Dave Greenwood,PF,28,SAS,68,24,1910,3.7,7.3,.510,0.0,0.0,.000,3.7,7.3,.512,2.7,3.5,.772,2.8,7.2,10.0,1.7,0.7,1.0,2.1,3.9,10.1,1986,0
Claude Gregory,PF,27,WSB,2,0,2,18.0,36.0,.500,0.0,0.0,,18.0,36.0,.500,0.0,0.0,,36.0,0.0,36.0,0.0,18.0,0.0,36.0,18.0,36.0,1986,0
Pétur Guðmundsson,C,27,LAL,8,2,128,5.6,10.4,.541,0.0,0.0,,5.6,10.4,.541,5.1,7.6,.667,4.8,5.9,10.7,0.8,0.8,1.1,3.1,7.0,16.3,1986,0
Scott Hastings,PF,25,ATL,62,0,650,3.6,8.8,.409,0.2,0.2,.750,3.4,8.6,.400,3.3,3.9,.857,2.4,4.4,6.9,1.4,0.8,0.4,2.2,6.5,10.7,1986,0
Steve Hayes,C,30,UTA,58,0,397,3.5,7.9,.448,0.0,0.0,,3.5,7.9,.448,1.0,3.3,.306,2.9,4.1,7.0,0.6,0.5,1.7,1.5,7.3,8.1,1986,0
Jerome Henderson,C,26,LAL,1,0,3,24.0,36.0,.667,0.0,0.0,,24.0,36.0,.667,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,48.0,1986,0
Marc Iavaroni,PF,29,TOT,68,9,1014,3.9,8.7,.451,0.0,0.1,.000,3.9,8.6,.455,2.7,4.1,.661,2.2,5.2,7.4,2.9,1.1,0.6,2.6,5.8,10.5,1986,0
Marc Iavaroni,PF,29,SAS,42,7,669,4.0,8.8,.454,0.0,0.1,.000,4.0,8.7,.460,2.3,3.6,.642,2.3,4.8,7.1,2.9,1.2,0.8,2.7,5.9,10.3,1986,0
Marc Iavaroni,PF,29,UTA,26,2,345,3.8,8.5,.444,0.0,0.0,,3.8,8.5,.444,3.4,5.0,.688,2.2,5.8,8.0,3.0,1.0,0.3,2.2,5.6,11.0,1986,0
Clemon Johnson,C,29,PHI,75,2,1069,3.5,7.5,.471,0.0,0.0,,3.5,7.5,.471,1.7,2.7,.630,3.6,5.0,8.6,0.5,0.8,2.1,1.3,4.3,8.8,1986,0
George Johnson,C,37,SEA,41,0,264,1.6,3.1,.522,0.0,0.0,,1.6,3.1,.522,1.5,2.2,.688,3.5,4.6,8.2,1.8,0.8,5.0,1.9,6.3,4.8,1986,0
George Johnson,PF,29,WSB,2,0,7,5.1,15.4,.333,0.0,0.0,,5.1,15.4,.333,10.3,10.3,1.000,5.1,5.1,10.3,0.0,0.0,0.0,5.1,5.1,20.6,1986,0
Ken Johnson,PF,23,POR,64,0,815,5.0,9.5,.528,0.0,0.0,,5.0,9.5,.528,1.6,3.8,.435,4.0,6.8,10.7,0.8,0.6,1.0,2.6,6.5,11.6,1986,0
Mickey Johnson,PF,33,NJN,79,4,1574,4.9,11.6,.422,0.1,0.5,.208,4.8,11.0,.433,4.2,5.3,.785,2.2,5.4,7.6,5.0,1.5,0.6,3.8,5.7,14.1,1986,0
Steve Johnson,C,28,SAS,71,55,1828,7.1,11.3,.632,0.0,0.0,,7.1,11.3,.632,5.1,7.3,.694,2.8,6.3,9.1,1.9,0.9,1.3,3.8,5.7,19.4,1986,0
