Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
Mark Landsberger,PF,25,LAL,69,,1086,5.4,10.8,.502,0.0,0.0,.000,5.4,10.8,.503,2.1,3.8,.534,5.0,7.5,12.5,0.9,0.6,0.2,2.2,4.5,12.9,1981,0
Bob Lanier*,C,32,MIL,67,,1753,7.7,14.7,.525,0.0,0.0,1.000,7.7,14.7,.524,4.3,5.7,.751,2.6,5.9,8.5,3.7,1.5,1.7,2.9,3.8,19.7,1981,0
Edmund Lawrence,C,28,DET,3,,19,9.5,15.2,.625,0.0,0.0,,9.5,15.2,.625,3.8,7.6,.500,3.8,3.8,7.6,1.9,1.9,0.0,1.9,11.4,22.7,1981,0
Scott Lloyd,C,28,DAL,72,,2186,4.0,9.0,.448,0.0,0.0,.000,4.0,9.0,.450,2.4,3.4,.717,2.7,4.8,7.5,2.6,0.6,0.4,2.4,4.4,10.5,1981,0
Maurice Lucas,PF,28,NJN,68,,2162,6.7,13.9,.484,0.0,0.0,.000,6.7,13.9,.485,3.2,4.2,.752,2.5,7.0,9.6,2.9,0.9,1.0,2.9,4.3,16.6,1981,0
Rick Mahorn,PF,22,WSB,52,,696,5.7,11.3,.507,0.0,0.0,,5.7,11.3,.507,1.4,2.1,.675,3.5,7.7,11.1,1.3,1.1,2.3,2.0,6.9,12.9,1981,0
Moses Malone*,C,25,HOU,80,,3245,8.9,17.1,.522,0.0,0.0,.333,8.9,17.1,.522,6.8,8.9,.757,5.3,7.8,13.1,1.6,0.9,1.7,3.4,2.5,24.7,1981,0
Bob McAdoo*,PF,29,TOT,16,,321,7.6,17.6,.433,0.0,0.1,.000,7.6,17.5,.436,3.3,4.6,.707,1.9,5.6,7.5,3.4,1.9,1.5,3.6,4.3,18.5,1981,0
Bob McAdoo*,PF,29,DET,6,,168,6.4,17.6,.366,0.0,0.0,,6.4,17.6,.366,2.6,4.3,.600,1.9,6.9,8.8,4.3,1.7,1.5,3.9,3.4,15.4,1981,0
Bob McAdoo*,PF,29,NJN,10,,153,8.9,17.6,.507,0.0,0.2,.000,8.9,17.4,.514,4.0,4.9,.810,1.9,4.2,6.1,2.4,2.1,1.4,3.3,5.2,21.9,1981,0
